2025-04-01 20:03:32.497 [info] Extension host with pid 27272 started
2025-04-01 20:03:32.835 [info] Eager extensions activated
2025-04-01 20:03:33.384 [info] Lock '/home/aituter/.vscode-server/data/User/workspaceStorage/d21591536bca993b7ac21f0ae52d14a9/vscode.lock': Lock acquired.
2025-04-01 20:03:33.430 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-04-01 20:03:33.445 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-04-01 20:03:33.446 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-04-01 20:03:34.085 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-04-01 20:03:34.086 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-04-01 20:03:35.322 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'workspaceContains:package.json'
2025-04-01 20:03:40.771 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
2025-04-01 20:03:40.773 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-04-01 20:03:43.429 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-04-01 20:03:43.432 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2025-04-01 20:03:43.444 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2025-04-01 21:53:12.090 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
